"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"site";"id"
"AM";"Yes";"Yes";40.271765;44.633584;1;"Abovyan";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Abovyan-AM"
"NL";"Yes";"Yes";52.3702157;4.8951679;1;"Amsterdam";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Amsterdam-NL"
"US";"Yes";"Yes";37.7590318;-77.4799837;1;"Ashland";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Ashland-US"
"GR";"Yes";"Yes";37.9837155;23.7293097;1;"Athens";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Athens-GR"
"ES";"Yes";"Yes";41.297445;2.0832941;1;"Barcelona";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Barcelona-ES"
"LB";"Yes";"Yes";33.8937913;35.5017767;1;"Beirut";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Beirut-LB"
"RS";"Yes";"Yes";44.786568;20.4489216;1;"Belgrade";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Belgrade-RS"
"DE";"Yes";"Yes";52.5200066;13.404954;1;"Berlin";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Berlin-DE"
"AU";"Yes";"Yes";-27.4710107;153.0234489;1;"Brisbane";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Brisbane-AU"
"RO";"Yes";"Yes";44.4379268;26.0244262;1;"Bucharest";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Bucharest-RO"
"HU";"Yes";"Yes";47.497912;19.040235;1;"Budapest";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Budapest-HU"
"AR";"Yes";"Yes";-34.6036844;-58.3815591;1;"Buenos Aires";"Global";"https://www.ripe.net/analyse/dns/k-root/";"BuenosAires-AR"
"CA";"Yes";"Yes";51.0486151;-114.0708459;1;"Calgary";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Calgary-CA"
"IE";"Yes";"Yes";51.8959843;-8.5330895;1;"Cork";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Cork-IE"
"QA";"Yes";"Yes";25.2854473;51.5310398;1;"Doha";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Doha-QA"
"DE";"Yes";"Yes";50.1109221;8.6821267;1;"Frankfurt";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Frankfurt-DE"
"PL";"Yes";"Yes";54.4050713;18.5769101;1;"Gdynia";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Gdynia-PL"
"CH";"Yes";"Yes";46.1983922;6.1422961;1;"Geneva";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Geneva-CH"
"DE";"Yes";"Yes";53.558243;9.6469591;1;"Hamburg";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Hamburg-DE"
"FI";"Yes";"Yes";60.1733244;24.9410248;1;"Helsinki";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Helsinki-FI"
"ZA";"Yes";"Yes";-26.1567008;27.9807018;1;"Johannesburg";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Johannesburg-ZA"
"US";"Yes";"Yes";39.0997265;-94.5785667;1;"Kansas City";"Global";"https://www.ripe.net/analyse/dns/k-root/";"KansasCity-US"
"DE";"Yes";"Yes";49.0068901;8.4036527;1;"Karlsruhe";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Karlsruhe-DE"
"KW";"Yes";"Yes";29.342143;47.945333;2;"Kuwait City";"Global";"https://www.ripe.net/analyse/dns/k-root/";"KuwaitCity-KW"
"UK";"Yes";"Yes";51.508515;-0.1254872;1;"London";"Global";"https://www.ripe.net/analyse/dns/k-root/";"London-UK"
"BH";"Yes";"Yes";26.2285161;50.5860497;1;"Manama";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Manama-BH"
"US";"Yes";"Yes";25.7889689;-80.2264393;1;"Miami";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Miami-US"
"IT";"Yes";"Yes";45.4654542;9.186516;1;"Milan";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Milan-IT"
"UY";"Yes";"Yes";-34.8195806;-56.3702903;1;"Montevideo";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Montevideo-UY"
"RU";"Yes";"Yes";55.755826;37.6173;1;"Moscow";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Moscow-RU"
"IN";"Yes";"Yes";18.9523804;72.8327112;1;"Mumbai";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Mumbai-IN"
"IN";"Yes";"Yes";28.567934;77.335489;1;"Noida";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Noida-IN"
"RU";"Yes";"Yes";55.0166667;82.9333333;1;"Novosibirsk";"Local";"https://www.ripe.net/analyse/dns/k-root/";"Novosibirsk-RU"
"GL";"Yes";"Yes";64.1814099;-51.6941381;1;"Nuuk";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Nuuk-GL"
"CA";"Yes";"Yes";45.4215296;-75.6971931;1;"Ottawa";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Ottawa-CA"
"FR";"Yes";"Yes";48.880528;2.2855013;1;"Paris";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Paris-FR"
"PL";"Yes";"Yes";52.406374;16.9251681;1;"Poznan";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Poznan-PL"
"CZ";"Yes";"Yes";50.0755381;14.4378005;1;"Prague";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Prague-CZ"
"US";"Yes";"Yes";39.529615;-119.814378;1;"Reno";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Reno-US"
